代號,除息日,息值(元),前一日收盤價,除息參考價,20日後收盤價,60日後收盤價,120日後收盤價,240日後收盤價,20日最高價,60日最高價,120日最高價,240日最高價,industry,RSI10,RSI14,MOM5,MOM10,new_h_5,new_h_10,new_h_20,new_h_60,new_l_5,new_l_10,new_l_20,new_l_60,above_MA5,above_MA10,above_MA20,above_MA60,MA5>10,MA10>20,MA20>60,Bias5_P,Bias10_P,Bias20_P,Bias60_P,Bias5_V,Bias10_V,Bias20_V,Bias60_V,ROC_II_20,PE_level,ROE,DPR,dividend_yield,20日內填息,60日內填息,120日內填息,240日內填息,20日內位階,60日內位階,120日內位階,240日內位階,20日填息率,60日填息率,120日填息率,240日填息率,20日內賺錢,60日內賺錢,120日內賺錢,240日內賺錢,20日不設限填息率,60日不設限填息率,120日不設限填息率,240日不設限填息率
1337,2016-11-02,0.3,17.21,16.91,17.36,17.16,13.65,12.8,17.46,18.35,18.35,18.35,2,42.588094240137174,43.47336467668404,-0.3000000000000007,0.1999999999999993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.006057268722466929,-0.0071507150715071155,-0.014737991266375513,-0.033251506360187415,-0.3845760980592441,-0.19773635153129165,-0.44533947065592633,-0.5942722995912794,-3.8881546098040842,5,1.32,0.13761467889908255,0.016620498614958446,0,1,1,1,0,1,1,1,0.4999999999999953,1.0,1.0,1.0,1,1,1,1,0.4999999999999953,1.0,1.0,1.0
8150,2016-11-25,2.09,23.04,20.95,21.93,22.76,27.95,26.83,26.07,26.07,28.92,31.99,3,56.39935543400607,52.191072113403216,2.349999999999998,3.6499999999999986,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0.03428571428571423,0.05765485001947791,0.038240917782026713,-0.05622664465108201,2.538763844230082,2.416891853044328,3.7547803824305945,7.979828250522551,-8.365435219505091,5,1.14,1.3312101910828025,0.07697974217311233,1,1,1,1,1,1,1,1,1.0,1.0,1.0,1.0,1,1,1,1,1.0,1.0,1.0,1.0
2499,2016-11-04,0.3,14.24,13.94,13.25,13.55,12.9,12.2,15.23,15.23,15.23,15.23,3,33.32967830532546,35.96154883182388,-0.4499999999999993,-0.29999999999999893,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,-0.023984010659560257,-0.026901361673862482,-0.022681787858572357,-0.06379806156140162,0.9802329685845392,0.5514380530973451,0.07276030213213491,-0.010567468657681637,-1.7098379481944703,5,0.11,1.875,0.020477815699658702,1,1,1,1,1,1,1,1,1.0,1.0,1.0,1.0,1,1,1,1,1.0,1.0,1.0,1.0
2430,2016-05-11,1.21,17.05,15.84,17.48,18.6,20.45,21.22,17.59,19.44,21.68,21.68,3,83.38152784088389,78.7968026887559,2.5,3.0500000000000007,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,0.07112970711297084,0.0937833796197394,0.11473982146745054,0.1360106500998448,1.5336402266288953,2.8323513658275306,4.790006069188752,4.980774589022012,10.735253005311707,5,3.41,0.5330396475770925,0.047265625,0,1,1,1,0,1,1,1,0.35537190082644604,1.0,1.0,1.0,1,1,1,1,0.35537190082644604,1.0,1.0,1.0
5225,2016-05-27,3.01,34.75,31.740000000000002,30.67,27.21,26.91,26.53,34.17,34.17,34.17,34.17,3,76.55630398378506,68.19060479492697,4.050000000000004,4.650000000000006,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0.05123887418811631,0.07941212794862301,0.07443604401008062,0.013607546002783435,1.7902621722846441,2.1434599156118144,3.2359630419331915,2.2164058283864003,4.571188644490198,4,0.81,0.8526912181303113,0.0688787185354691,0,0,0,0,-1,-1,-1,-1,0.0,0.0,0.0,0.0,0,0,0,0,-1.0,-1.0,-1.0,-1.0
1473,2016-05-04,1.2,34.84,33.64,37.95,30.14,25.39,23.15,38.31,38.44,38.44,38.44,2,60.53855224914544,59.24341180516355,0.45000000000000284,6.149999999999999,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,-0.00753158406219619,0.03732859319451503,0.08839006194631324,0.07966433936083521,-0.40766164747564215,-0.35578389660431886,-0.1462538897311099,-0.14520051838307094,2.9991971556371233,5,3.91,0.851063829787234,0.029375764993880046,1,1,1,1,1,1,1,1,1.0,1.0,1.0,1.0,1,1,1,1,1.0,1.0,1.0,1.0
3443,2016-06-13,3.0,65.02,62.019999999999996,65.92,67.71,68.06,104.96,68.42,73.16,74.23,104.96,3,63.75794570492563,57.6733828191948,2.5,2.200000000000003,0,0,0,0,0,0,0,0,1,1,1,0,1,1,0,0.02435723951285517,0.02408008658008661,0.042197287808907594,-0.0265126347600574,0.915182029434547,1.1024659863945578,1.4635695603437537,0.42651088994663217,1.4278572142785606,2,2.85,0.7263922518159807,0.03963011889035667,1,1,1,1,1,1,1,1,1.0,1.0,1.0,1.0,1,1,1,1,1.0,1.0,1.0,1.0
2851,2016-06-14,0.7,10.55,9.850000000000001,10.48,10.44,11.47,11.16,10.59,10.67,12.42,12.42,1,66.1600176119759,60.587652524013755,0.05000000000000071,0.3000000000000007,1,1,1,0,0,0,0,0,1,1,1,1,1,1,0,0.004140786749482436,0.008665511265164705,0.017482517482517553,0.001146788990825737,2.4574468085106385,3.5855379188712524,4.8923512747875355,5.262545162585307,-1.239103020998955,5,2.52,0.6796116504854368,0.04810996563573883,0,0,1,1,-1,-1,1,1,0.0,0.0,1.0,1.0,0,0,1,1,-0.10000000000000041,-0.1571428571428589,1.0,1.0
6023,2016-06-14,2.28,26.67,24.39,26.76,27.13,27.53,29.25,27.05,28.23,28.23,29.47,1,69.44784971821933,64.20775664666007,0.6499999999999986,0.6499999999999986,1,1,1,0,0,0,0,0,1,1,1,1,1,1,0,0.006772597030476635,0.010457516339869244,0.017640863612427553,0.008304708900386922,2.3350050150451356,3.6996466431095407,5.67335674862017,4.7734047171176375,-5.6715487690869315,4,3.38,0.5876288659793814,0.058990944372574385,0,0,0,1,0,0,0,1,0.03947368421052626,0.2017543859649111,0.37719298245614014,1.0,1,1,1,1,0.03947368421052626,0.2017543859649111,0.37719298245614014,1.0
8427,2016-06-15,3.6,108.02,104.42,116.88,131.4,114.4,97.05,131.05,137.95,139.9,139.9,0,78.75036358026298,75.61912896296657,2.5999999999999943,2.3999999999999915,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,0.04530744336569575,0.05040650406504056,0.0890087660148347,0.14278975145207407,0.9923371647509578,0.6455696202531644,1.1063291139240505,1.4935064935064934,12.139358554479562,4,10.65,0.38876889848812096,0.05572755417956657,1,1,1,1,1,1,1,1,1.0,1.0,1.0,1.0,1,1,1,1,1.0,1.0,1.0,1.0
